# Reference in the pinned BLIVRE source; theme; editorial title. Tabs separate fields.
PSA 3:3-4	prayer	Um escudo ao redor
PSA 4:3	faith	O Senhor ouve
PSA 4:6-7	hope	Alegria no coração
PSA 4:8	anxiety	Deitar em paz
PSA 5:3	prayer	A oração da manhã
PSA 5:11	hope	Alegria de quem confia
PSA 7:10	faith	Coração íntegro
PSA 8:3-4	presence	Olhando para os céus
PSA 9:9-10	anxiety	Refúgio na angústia
PSA 9:18	hope	A esperança do necessitado
PSA 10:17	prayer	O desejo dos humildes
PSA 11:7	practiceGood	O amor à justiça
PSA 12:5	charity	O clamor do oprimido
PSA 13:5-6	hope	Cantar pela bondade
PSA 16:5-6	financialBalance	Uma herança suficiente
PSA 16:7	wisdom	Conselho que acompanha
PSA 17:6-7	prayer	Uma oração confiante
PSA 17:8	anxiety	À sombra das asas
PSA 18:1-2	faith	Minha força e refúgio
PSA 18:28-29	hope	Uma lâmpada acesa
PSA 18:32-33	purpose	Força para o caminho
PSA 19:7-8	wisdom	A palavra que restaura
PSA 19:14	discipline	Palavras e pensamentos
PSA 20:7	faith	Onde está a confiança
PSA 22:24	charity	A aflição não é ignorada
PSA 24:3-4	discipline	Mãos limpas e coração puro
PSA 25:4-5	purpose	Ensina-me teus caminhos
PSA 25:8-9	wisdom	O caminho dos humildes
PSA 25:16-17	prayer	Olha para minha aflição
PSA 26:2-3	discipline	Um coração examinado
PSA 27:4	presence	Uma coisa peço
PSA 27:13-14	patience	Espera com coragem
PSA 28:7	faith	Coração que confia
PSA 29:11	anxiety	Força e paz
PSA 30:5	hope	Alegria ao amanhecer
PSA 30:11-12	hope	Do pranto ao louvor
PSA 31:3	purpose	Guia-me por teu nome
PSA 31:14-15	patience	Meus tempos em tuas mãos
PSA 31:24	hope	Coração fortalecido
PSA 32:1-2	forgiveness	A alegria do perdão
PSA 32:5	forgiveness	Reconhecer a própria falta
PSA 32:8	wisdom	Conselho para caminhar
PSA 33:4-5	practiceGood	Justiça e bondade
PSA 33:20-22	patience	A alma espera
PSA 34:1-3	prayer	Louvor em todo tempo
PSA 34:12-13	discipline	Cuidar da língua
PSA 34:15	prayer	Ouvidos atentos ao clamor
PSA 36:5-7	faith	Bondade que alcança os céus
PSA 37:3-4	practiceGood	Confiar e fazer o bem
PSA 37:7	patience	Descansar e esperar
PSA 37:8-9	patience	Deixar a ira
PSA 37:16-17	financialBalance	O valor do pouco
PSA 37:21	financialBalance	Generosidade e responsabilidade
PSA 37:23-24	hope	Sustentado ao tropeçar
PSA 37:30-31	wisdom	Sabedoria no coração
PSA 38:9	prayer	O suspiro conhecido
PSA 39:4-5	presence	Reconhecer a brevidade
PSA 40:1-3	patience	Esperar e ser ouvido
PSA 40:8	purpose	Prazer em fazer o bem
PSA 41:1	charity	Atenção ao necessitado
PSA 42:5	hope	Esperança na inquietação
PSA 43:3	purpose	Luz para o caminho
PSA 47:6-7	prayer	Cantar com entendimento
PSA 48:14	faith	Guia por toda a vida
PSA 49:16-17	financialBalance	O limite das riquezas
PSA 50:14-15	prayer	Gratidão e confiança
PSA 51:1-2	forgiveness	Um pedido de misericórdia
PSA 51:12	forgiveness	A alegria restaurada
PSA 51:17	forgiveness	Um coração contrito
PSA 52:8-9	patience	Esperar na bondade
PSA 54:4	faith	O sustento da vida
PSA 55:16-17	prayer	Oração ao longo do dia
PSA 56:3-4	anxiety	Quando vier o medo
PSA 57:1	anxiety	Refúgio até passar a aflição
PSA 57:7-8	prayer	Um coração disposto
PSA 59:16	prayer	Cantar pela manhã
PSA 61:1-2	prayer	Quando o coração desfalece
PSA 62:1-2	presence	Silêncio e confiança
PSA 62:8	prayer	Derramar o coração
PSA 62:10	financialBalance	Não prender o coração à riqueza
PSA 63:3-4	prayer	Bondade melhor que a vida
PSA 63:6-8	presence	Lembrança que acompanha
PSA 65:9	prosperityWithPurpose	O cuidado com a terra
PSA 66:19-20	prayer	A oração acolhida
PSA 67:1-2	purpose	Bênção que alcança outros
PSA 68:5-6	family	Acolher quem está só
PSA 68:19	hope	Amparo dia após dia
PSA 69:16	prayer	Bondade ao responder
PSA 71:5-6	faith	Confiança desde a juventude
PSA 71:17-18	family	Transmitir às novas gerações
PSA 72:12-14	charity	Cuidar de quem não tem auxílio
PSA 73:23-24	purpose	Conduzido pelo conselho
PSA 73:25-26	hope	Força para o coração
PSA 73:28	presence	Estar perto de Deus
PSA 77:11-12	presence	Lembrar e meditar
PSA 78:4	family	Contar à próxima geração
PSA 80:3	prayer	Um pedido de restauração
PSA 82:3-4	practiceGood	Defender o vulnerável
PSA 84:4-5	faith	Força para peregrinar
PSA 84:11-12	hope	Bem para o caminho
PSA 85:8	presence	Escutar palavras de paz
PSA 85:10-11	practiceGood	Justiça e paz se encontram
PSA 86:5	forgiveness	Pronto para perdoar
PSA 86:11	purpose	Um coração inteiro
PSA 86:15	patience	Misericórdia e paciência
PSA 89:1-2	family	Fidelidade de geração em geração
PSA 90:14	prayer	A manhã preenchida de bondade
PSA 90:17	work	Confirma o trabalho das mãos
PSA 91:4	anxiety	Refúgio sob as asas
PSA 92:12-14	spiritualEvolution	Florescer com o passar dos anos
PSA 94:18-19	anxiety	Consolo nas inquietações
PSA 95:1-2	prayer	Chegar com gratidão
PSA 96:1-3	prayer	Um cântico novo
PSA 97:10-12	practiceGood	Amar o bem
PSA 98:4-6	prayer	Alegria que se expressa
PSA 100:4-5	prayer	Entrar com gratidão
PSA 101:2-3	discipline	Integridade dentro de casa
PSA 102:17	prayer	A prece do desamparado
PSA 103:8	patience	Longanimidade e bondade
PSA 103:11-13	forgiveness	Distância entre nós e a culpa
PSA 104:24	presence	Obras feitas com sabedoria
PSA 104:27-28	prosperityWithPurpose	Receber no tempo certo
PSA 105:1-2	prayer	Contar as boas obras
PSA 105:4-5	faith	Buscar força e lembrar
PSA 106:3	practiceGood	Praticar a justiça
PSA 107:8-9	hope	Sede e fome saciadas
PSA 107:28-30	anxiety	Calmaria depois da tempestade
PSA 108:1-2	prayer	Despertar para o louvor
PSA 109:30-31	charity	Ao lado do necessitado
PSA 111:4-5	faith	Memória da bondade
PSA 111:10	wisdom	O começo da sabedoria
PSA 112:7-9	charity	Um coração firme e generoso
PSA 113:7-8	charity	Levantar quem está no pó
PSA 115:12-13	hope	Lembrados e abençoados
PSA 116:1-2	prayer	Uma voz ouvida
PSA 116:7	presence	Voltar ao descanso
PSA 117:1-2	prayer	Bondade que permanece
PSA 118:5-6	anxiety	Resposta na angústia
PSA 118:14	faith	Força e cântico
PSA 119:9-11	discipline	Guardar a palavra
PSA 119:18	wisdom	Olhos abertos para aprender
PSA 119:28	hope	Força na tristeza
PSA 119:36-37	financialBalance	Coração livre da cobiça
PSA 119:49-50	consolationHope	Consolo que traz vida
PSA 119:66	wisdom	Discernimento e conhecimento
PSA 119:72	financialBalance	Mais precioso que o ouro
PSA 119:76	consolationHope	Bondade que consola
PSA 119:89-90	faith	Fidelidade que atravessa gerações
PSA 119:97	wisdom	Meditar ao longo do dia
PSA 119:114	anxiety	Abrigo e escudo
PSA 119:130	wisdom	A palavra ilumina
PSA 119:133	discipline	Passos firmados
PSA 119:165	anxiety	Paz no caminho
PSA 123:1-2	patience	Olhos que esperam
PSA 124:8	faith	O auxílio do Criador
PSA 125:1-2	faith	Confiança que permanece
PSA 126:2-3	hope	Reconhecer as grandes coisas
PSA 128:1-2	work	O fruto do trabalho
PSA 128:3-4	family	Bênção no lar
PSA 130:3-4	forgiveness	Há perdão
PSA 131:1	innerReform	Humildade para descansar
PSA 132:15	charity	Pão para os necessitados
PSA 133:2-3	family	A bênção da união
